Kipling, Rudyard|Just So Stories|General Fiction / GF|1902-011902|03
Conrad, Joseph|Heart of Darkness|Literary / L|1902-011902|03.5
Hopkins, Pauline|Of One Blood; Or, the Hidden Self|General Fiction / GF|1902-011902|05
Christie, Agatha|The Murder of Roger Ackroyd|Private Investigator / PI|1926-011926|04.5
Hemingway, Ernest|The Sun Also Rises / Fiesta|General Fiction / GF|1926-10Oct-1926|04
Milne, A.A.|Winnie-the-Pooh|General Fiction / GF|1926-011926|04.5
Hammett, Dashiell|Red Harvest|Suspense / S|1929-011929|04
Field, Rachel|Hitty: Her First Hundred Years|Historical / H|1929-011929|04
Kelly, Eric P.|The Trumpeter of Krakow|Historical / H|1929-011929|03
Carr, John Dickson|Castle Skull|Police/Detective/Law Enforcement / PD|1931-011931|04.5
Carr, John Dickson|Lost Gallows|Suspense / S|1931-011931|04.5
Buck, Pearl S.|The Good Earth|Literary / L|1931-03Mar-1931|04.5
Coatsworth, Elizabeth Jane|The Cat Who Went to Heaven|General Fiction / GF|1931-011931|02
Sawyer, Ruth|Roller Skates|General Fiction / GF|1931-011931|04
Field, Rachel|Calico Bush|Historical / H|1931-011931|04
Crofts, Freeman Wills|Mystery in the Channel|Suspense / S|1931-011931|05
Carr, John Dickson|Corpse in the Waxworks|Police/Detective/Law Enforcement / PD|1932-011932|04
Lewis, Elizabeth Foreman|Young Fu of the Upper Yangtze|Historical / H|1932-011932|04
Meigs, Cornelia|Swift Rivers|General Fiction / GF|1932-011932|03
Carr, John Dickson|The Mad Hatter Mystery|Amateur Sleuth / AS|1933-011933|04.5
Hammett, Dashiell|The Thin Man|Suspense / S|1933-011933|04.5
Gag, Wanda|ABC Bunny|General Fiction / GF|1933-011933|03
Meigs, Cornelia|Invincible Louisa|Historical / H|1933-011933|03.5
Graves, Robert|I, Claudius|Historical / H|1934-011934|04.5
Travers, P.L.|Mary Poppins|General Fiction / GF|1934-011934|03
Sayers, Dorothy L.|Gaudy Night|Amateur Sleuth / AS|1935-011935|04.5
Lewis, Sinclair|It Can't Happen Here|General Fiction / GF|1935-011935|04
Brink, Carol Ryrie|Caddie Woodlawn|Historical / H|1935-011935|04.5
Gray, Elizabeth Janet|Young Walter Scott|General Fiction / GF|1935-011935|01
Steinbeck, John|Of Mice and Men: A Novella|General Fiction / GF|1937-01Jan-1937|04
Hurston, Zora Neale|Their Eyes Were Watching God|General Fiction / GF|1937-011937|03.5
Wilder, Laura Ingalls|On the Banks Of Plum Creek|Historical / H|1937-011937|04.5
Seredy, Kate|The White Stag|General Fiction / GF|1937-011937|03.5
Bowman, James Cloyd|Pecos Bill: The Greatest Cowboy of All Time|General Fiction / GF|1937-011937|04
Robinson, Mabel|Bright Island|General Fiction / GF|1937-011937|04
Carr, John Dickson|The Crooked Hinge|Amateur Sleuth / AS|1938-011938|04.5
Atwater, Richard|Mr. Popper's Penguins|General Fiction / GF|1938-011938|03
Angelo, Valenti|Nino|General Fiction / GF|1938-011938|01
Gray, Elizabeth Janet|Penn|General Fiction / GF|1938-011938|00
Daugherty, James|Andy and the Lion|General Fiction / GF|1938-01Jan-1938|04
Handforth, Thomas|Mei Li|General Fiction / GF|1938-011938|03
Chandler, Raymond|The Big Sleep|Suspense / S|1939-011939|04.5
Steinbeck, John|The Grapes of Wrath|Literary / L|1939-011939|04
Wilder, Laura Ingalls|By the Shores Of Silver Lake|Historical / H|1939-011939|04.5
Enright, Elizabeth|Thimble Summer|Historical / H|1939-011939|03
Seredy, Kate|The Good Master|Historical / H|1939-011939|03.5
Seredy, Kate|The Singing Tree|Historical / H|1939-011939|03.5
Bemelmans, Ludwig|Madeline|General Fiction / GF|1939-011939|04
Burton, Virginia Lee|Mike Mulligan and His Steam Shovel|General Fiction / GF|1939-10Oct-1939|05
D'Aulaire, Ingri|Abraham Lincoln|General Fiction / GF|1939-011939|03
Hughes, Dorothy B.|The So Blue Marble|Suspense / S|1940-011940|05
Paton, Alan|Cry, the Beloved Country|General Fiction / GF|1940-01Jan-1940|04
Wilder, Laura Ingalls|The Long Winter|Historical / H|1940-011940|04.5
Knight, Eric|Lassie Come Home|General Fiction / GF|1940-011940|04
Gates, Doris|Blue Willow|Historical / H|1940-011940|04
Hall, Anna Gertrude|Nansen|General Fiction / GF|1940-011940|01
Newberry, Clare Turlay|April's Kittens|General Fiction / GF|1940-11Nov-1940|04
Lawson, Robert|They Were Strong and Good|Historical / H|1940-02Feb-1940|00
Wilder, Laura Ingalls|Little Town on the Prairie|Historical / H|1941-011941|04.5
Sperry, Armstrong|Call It Courage|General Fiction / GF|1941-011941|03.5
Holling, Holling Clancy|Paddle-To-The-Sea|General Fiction / GF|1941-09Sep-1941|04
Gaggin, Eva Roe|Down Ryton Water|General Fiction / GF|1941-011941|04.5
Rey, H.A.|Curious George|General Fiction / GF|1941-011941|04
McCloskey, Robert|Make Way for Ducklings|General Fiction / GF|1941-01Jan-1941|03
