titel,authorLabel,date,langLabel,publisherLabel,genres,part_of_a_series
The Final Reckoning,Robin Jarvis,1990-01-01T00:00:00Z,English,Headline Publishing Group,fantasy,Y
Sovereign,Tosca Lee,2011-01-01T00:00:00Z,English,,spiritual novel,N
The Story of the Latter-day Saints,Glen M. Leonard,1976-07-01T00:00:00Z,English,The Church of Jesus Christ of Latter-day Saints,historiography,N
The Eight of Swords,John Dickson Carr,1934-01-01T00:00:00Z,English,Harper,crime fiction,Y
Secret Agent of Terra,John Brunner,1962-01-01T00:00:00Z,English,Ace Books,science fiction,N
Gerald's Game,Stephen King,1992-05-01T00:00:00Z,English,Viking Press,"horror fiction, thriller, drama",N
The Brains of Rats,Michael Blumlein,1986-01-01T00:00:00Z,English,,science fiction,N
Diuturnity's Dawn,Alan Dean Foster,2002-01-01T00:00:00Z,English,Del Rey Books,science fiction,N
Pronominalization in Bengali,Humayun Azad,2010-01-01T00:00:00Z,English,Agamee Prakashani,doctoral thesis,N
"""B"" Is for Burglar",Sue Grafton,1985-01-01T00:00:00Z,English,Henry Holt and Company,mystery fiction,N
Public Speaking: a Practical Course for Business Men,Dale Carnegie,1926-01-01T00:00:00Z,English,,popular psychology,N
12: The Elements of Great Managing,James K. Harter,2006-01-01T00:00:00Z,English,Gallup,non-fiction,N
Well of Shiuan,C. J. Cherryh,1978-01-01T00:00:00Z,English,DAW Books,science fiction,Y
"The scenery, antiquities, and biography, of South Wales; from materials collected during two excursions in the year 1803, embellished with views, drawn on the spot and engraved by Laporte, and a map of the country",Benjamin Heath Malkin,1804-01-01T00:00:00Z,English,Longman,travel literature,N
The Wizard's Dilemma,Diane Duane,2001-01-01T00:00:00Z,English,Harcourt,fantasy literature,Y
Naked Came the Phoenix,J. A. Jance,2001-08-15T00:00:00Z,English,St. Martin's Press,mystery fiction,N
Me Before You,Jojo Moyes,2012-01-05T00:00:00Z,English,Penguin Books,romantic fiction,Y
An Argosy Of Fables,Frederic Taber Cooper,1921-01-01T00:00:00Z,English,,anthology,N
Adventures of Wim,Luke Rhinehart,2002-11-27T00:00:00Z,English,Grafton,comedy,N
Empress of Mijak,Karen Miller,2007-06-01T00:00:00Z,English,HarperCollins,fantasy,Y
Covering: The Hidden Assault on Our Civil Rights,Kenji Yoshino,2006-01-01T00:00:00Z,English,Random House,"LGBT literature, non-fiction",N
Breakfast with Buddha,Roland Merullo,2007-02-10T00:00:00Z,English,,philosophical fiction,N
The Last Albatross,Ian Irvine,2000-11-01T00:00:00Z,English,Simon & Schuster,science fiction,N
Between the Devil and the Deep Blue Sea,April Genevieve Tucholke,2013-08-15T00:00:00Z,English,,"gothic fiction, young adult novel",N
"No God but God: The Origins, Evolution, and Future of Islam",Reza Aslan,2005-03-15T00:00:00Z,English,Random House,non-fiction,N
Guinevere: The Legend in Autumn,Persia Woolley,1993-01-01T00:00:00Z,English,Pocket Books,historical fiction,Y
The Whispering Skull,Jonathan Stroud,2014-01-01T00:00:00Z,English,,supernatural fiction,Y
Deep Space,Eric Frank Russell,1954-01-01T00:00:00Z,English,Fantasy Press,science fiction,N
Monsieur,Lawrence Durrell,1974-01-01T00:00:00Z,English,Faber and Faber Limited  Russell Square London,LGBT literature,Y
"Tom Swift and His Wizard Camera, or, Thrilling Adventures While Taking Moving Pictures",Victor Appleton,1912-01-01T00:00:00Z,English,Grosset & Dunlap,adventure fiction,Y
The Adventure of the Singular Sandwich,Basil Copper,1995-01-01T00:00:00Z,English,Fedogan & Bremer,detective fiction,N
Vallista,Steven Brust,2017-10-17T00:00:00Z,English,Tor Books,fantasy,Y
Stardrift and Other Fantastic Flotsam,Emil Petaja,1971-01-01T00:00:00Z,English,"Fantasy Publishing Company, Inc.",science fiction,N
It's Superman!,Tom De Haven,2005-09-15T00:00:00Z,English,Ballantine Books,science fiction,N
Tales of Nevèrÿon,Samuel R. Delany,1979-01-01T00:00:00Z,English,Bantam Books,novella,Y
Money and Power,William D. Cohan,2009-01-01T00:00:00Z,English,Doubleday,non-fiction,N
Joseph Anton: A Memoir,Salman Rushdie,2012-01-01T00:00:00Z,English,Random House,memoir,N
The Devil and Daniel Webster,Stephen Vincent Benét,1937-01-01T00:00:00Z,English,Farrar & Rinehart,fantasy,N
The Managed Heart: the Commercialization of Human Feeling,Arlie Russell Hochschild,1983-01-01T00:00:00Z,English,,"non-fiction, social science",N
Den afrikanske farm,Karen Blixen,1937-01-01T00:00:00Z,English,G. P. Putnam's Sons,"memoir, autobiography",N
The Electric Kool-Aid Acid Test,Tom Wolfe,1968-01-01T00:00:00Z,English,"Farrar, Straus and Giroux",non-fiction,N
The Covenant with Black America,Tavis Smiley,2006-01-01T00:00:00Z,English,Third World Press,"politics, non-fiction",N
The Red Badge of Courage,Stephen Crane,1895-01-01T00:00:00Z,English,D. Appleton & Company,"military fiction, historical fiction, novel",N
Ben-Hur,Lew Wallace,1880-11-12T00:00:00Z,English,Harper,historical fiction,N
"It's Like This, Cat",Emily Cheney Neville,1963-01-01T00:00:00Z,English,Harper,children's novel,N
Villains by Necessity,Eve Forward,1995-01-01T00:00:00Z,English,Tor Books,fantasy,N
Tripwire,Lee Child,1999-04-15T00:00:00Z,English,Bantam Press,thriller,Y
Blackwattle Creek,Geoffrey McGeachin,2012-01-01T00:00:00Z,English,Viking Press,crime fiction,N
Terminal,Roderick Gordon,2013-05-06T00:00:00Z,English,,"subterranean fiction, lost world fiction",Y
Possible Side Effects,Augusten Burroughs,2006-05-01T00:00:00Z,English,St. Martin's Press,"LGBT literature, memoir",N
The Green Hills of Earth,Robert A. Heinlein,1947-01-01T00:00:00Z,English,,"short story, science fiction",N
Peter and the Sword of Mercy,Dave Barry,2009-10-13T00:00:00Z,English,Hachette Books,fantasy,N
The Fire Eternal,Chris d'Lacey,2007-09-01T00:00:00Z,English,Scholastic Corporation,fantasy literature,Y
Dawn Wind,Rosemary Sutcliff,1961-01-01T00:00:00Z,English,Oxford University Press,historical fiction,N
Plan for Chaos,John Wyndham,2009-01-01T00:00:00Z,English,Liverpool University Press,science fiction,N
Midst Toil and Tribulation,David Weber,2012-09-18T00:00:00Z,English,Tor Books,science fiction,N
Sten Adventures Book 1: Sten,Allan Cole,1982-01-01T00:00:00Z,English,Orbit Books,science fiction,Y
A Century of American Medicine,Edward Hammond Clarke,1876-01-01T00:00:00Z,English,Henry C. Lea,non-fiction,N
Earthbound,Richard Matheson,1982-01-01T00:00:00Z,English,,horror literature,N
Flush,Carl Hiaasen,2005-09-13T00:00:00Z,English,Alfred A. Knopf,fiction,N
The Elephant is White,S. J. Simon,1939-01-01T00:00:00Z,English,,comedy,N
Five Go Off to Camp,Enid Blyton,1948-01-01T00:00:00Z,English,Hodder & Stoughton,"mystery fiction, adventure fiction",Y
Works of Maria Edgeworth,Maria Edgeworth,1825-01-01T00:00:00Z,English,Eliakim Littell,editorial collection,N
Gramsci is dead,Richard J. F. Day,2005-09-01T00:00:00Z,English,,non-fiction,N
Red Strangers,Elspeth Huxley,1939-01-01T00:00:00Z,English,Chatto & Windus,historical fiction,N
