"Blocking Key Value","Frequency"
"THWIOF","410"
"NO","400"
"AL","396"
"SEOFTH","377"
"THLEOF","376"
"THST","364"
"SL","350"
"THBEOF","341"
"EX","340"
"THTR","336"
"TR","3150"
"BI,EL","330"
"BL","2871"
"EV","328"
"HO","2541"
"PA","2520"
"BE","2392"
"HE","2356"
"CH","2343"
"MO","2310"
"WI","2304"
"SP","2196"
"RE","8694"
"ST","5304"
"THBOOF","4633"
"UN","4488"
"DE","4323"
"CO","4320"
"MA","4284"
"IN","3920"
"SH","3822"
"CA","3290"
"BR","1863"
"SU","1820"
"FR","1782"
"THMAOF","1775"
"FA","1768"
"DR","1679"
"THSEOF","1650"
"PO","1525"
"CR","1518"
"SA","1494"
"HA,THCO","1400"
"SI","1392"
"RA","1278"
"THSTOF","1240"
"DA","1206"
"PR","1197"
"BA","1125"
"AN","1088"
"THRE","1080"
"MI","1040"
"FL","1026"
"FI","1012"
"THCAOF","989"
"THCOOF","976"
"THLAOF","940"
"FO","930"
"SO","928"
"THPROF","918"
"THHOOF","851"
"WA","848"
"NE","846"
"SE","845"
"NI","840"
"RO","836"
"TA","825"
"THREOF","754"
"ME","750"
"THIN","740"
"THADOF","738"
"SC","731"
"PE","720"
"LA","693"
"DI,THCH","672"
"BU","667"
"THAROF","660"
"EN","649"
"DO","644"
"THSOOF","630"
"GR","615"
"AR","602"
"TI","592"
"TH","588"
"THWAOF","576"
"LI,THPR","572"
"LO","570"
"TE","559"
"THMA","546"
"WO","510"
"CL","494"
"SW","480"
"THCA,THWA","455"
"THMEOF","450"
"THDEOF,THGIWH","441"
"GO","434"
"RU,THDE","432"
"THLIOF","429"
"RI","420"
"BO","416"
