"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch"
"LinearCombinationMatchingRule","bbe_40747","fdb_6572","0.0",
"LinearCombinationMatchingRule","bbe_37311","fdb_14902","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_20367","fdb_16496","0.0",
"LinearCombinationMatchingRule","bbe_11227","fdb_8944","0.0",
"LinearCombinationMatchingRule","bbe_4994","fdb_1391","0.0",
"LinearCombinationMatchingRule","bbe_36933","fdb_1418","0.5249999999999999","0"
"LinearCombinationMatchingRule","bbe_420","fdb_16519","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_48357","fdb_210","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_51985","fdb_2134","0.0",
"LinearCombinationMatchingRule","bbe_18453","fdb_4700","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_18757","fdb_7053","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_36375","fdb_5856","0.0",
"LinearCombinationMatchingRule","bbe_24810","fdb_1863","0.0",
"LinearCombinationMatchingRule","bbe_16750","fdb_12937","0.0",
"LinearCombinationMatchingRule","bbe_336","fdb_6273","0.0",
"LinearCombinationMatchingRule","bbe_141","fdb_4620","0.0",
"LinearCombinationMatchingRule","bbe_6286","fdb_6735","0.0",
"LinearCombinationMatchingRule","bbe_37568","fdb_2446","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_13680","fdb_14210","0.0",
"LinearCombinationMatchingRule","bbe_16985","fdb_13454","0.0",
"LinearCombinationMatchingRule","bbe_22845","fdb_7998","0.0",
"LinearCombinationMatchingRule","bbe_27587","fdb_5314","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_38017","fdb_11129","0.07777777777777777",
"LinearCombinationMatchingRule","bbe_17831","fdb_4069","0.0",
"LinearCombinationMatchingRule","bbe_39581","fdb_6165","0.0",
"LinearCombinationMatchingRule","bbe_1023","fdb_4044","0.0",
"LinearCombinationMatchingRule","bbe_49085","fdb_2876","0.0",
"LinearCombinationMatchingRule","bbe_51076","fdb_7742","0.0",
"LinearCombinationMatchingRule","bbe_42148","fdb_1879","0.0",
"LinearCombinationMatchingRule","bbe_17615","fdb_16730","0.175",
"LinearCombinationMatchingRule","bbe_22903","fdb_12117","0.0",
"LinearCombinationMatchingRule","bbe_34071","fdb_645","0.2333333333333333",
"LinearCombinationMatchingRule","bbe_16694","fdb_15866","0.0",
