"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] BookTitleComparatorLowerJaccard record1Value","[0] BookTitleComparatorLowerJaccard record2Value","[0] BookTitleComparatorLowerJaccard record1PreprocessedValue","[0] BookTitleComparatorLowerJaccard record2PreprocessedValue","[0] BookTitleComparatorLowerJaccard similarity","[0] BookTitleComparatorLowerJaccard postproccesedSimilarity","[1] BookAuthorComparatorLowerJaccard record1Value","[1] BookAuthorComparatorLowerJaccard record2Value","[1] BookAuthorComparatorLowerJaccard record1PreprocessedValue","[1] BookAuthorComparatorLowerJaccard record2PreprocessedValue","[1] BookAuthorComparatorLowerJaccard similarity","[1] BookAuthorComparatorLowerJaccard postproccesedSimilarity","[2] BookReleaseDateComparatorWeightedDateSimilarity record1Value","[2] BookReleaseDateComparatorWeightedDateSimilarity record2Value","[2] BookReleaseDateComparatorWeightedDateSimilarity record1PreprocessedValue","[2] BookReleaseDateComparatorWeightedDateSimilarity record2PreprocessedValue","[2] BookReleaseDateComparatorWeightedDateSimilarity similarity","[2] BookReleaseDateComparatorWeightedDateSimilarity postproccesedSimilarity"
"LinearCombinationMatchingRule","wiki_4507","bbe_49003","0.175",,"The Memoirs of Solar Pons","The Metaphysics of Star Trek","the memoirs of solar pons","the metaphysics of star trek","0.25","0.25","The Memoirs of Solar Pons_August Derleth","The Metaphysics of Star Trek_Richard Hanley","The Memoirs of Solar Pons_August Derleth","The Metaphysics of Star Trek_Richard Hanley","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_4659","bbe_18971","0.0",,"Stargazer","Stranded","stargazer","stranded","0.0","0.0","Stargazer_Claudia Gray","Stranded_J.C. Valentine","Stargazer_Claudia Gray","Stranded_J.C. Valentine","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_1326","bbe_46871","0.0",,"Traces","Trimalchio","traces","trimalchio","0.0","0.0","Traces_Stephen Baxter","Trimalchio_F. Scott Fitzgerald","Traces_Stephen Baxter","Trimalchio_F. Scott Fitzgerald","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_8341","bbe_24935","0.2333333333333333",,"The Fellowship of the Ring","The Festival of Insignificance","the fellowship of the ring","the festival of insignificance","0.3333333333333333","0.3333333333333333","The Fellowship of the Ring_J. R. R. Tolkien","The Festival of Insignificance_Milan Kundera","The Fellowship of the Ring_J. R. R. Tolkien","The Festival of Insignificance_Milan Kundera","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_10359","bbe_45168","0.0",,"Wigfield","Wish","wigfield","wish","0.0","0.0","Wigfield_Paul Dinello","Wish_Melina Gerosa Bellows","Wigfield_Paul Dinello","Wish_Melina Gerosa Bellows","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_10100","bbe_29528","0.0",,"Jewels","Jericho","jewels","jericho","0.0","0.0","Jewels_Danielle Steel","Jericho_Ann McMan","Jewels_Danielle Steel","Jericho_Ann McMan","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_10621","bbe_1158","0.2333333333333333",,"The Privateer","The Present","the privateer","the present","0.3333333333333333","0.3333333333333333","The Privateer_James Doohan","The Present_Kenneth Thomas","The Privateer_James Doohan","The Present_Kenneth Thomas","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_9773","bbe_40021","0.26249999999999996",,"The Power of Women and the Subversion of the Community","The Power of Art","the power of women and the subversion of the community","the power of art","0.375","0.375","The Power of Women and the Subversion of the Community_Selma James","The Power of Art_Simon Schama","The Power of Women and the Subversion of the Community_Selma James","The Power of Art_Simon Schama","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_4038","bbe_44638","0.12727272727272726",,"The Lion of Comarre and Against the Fall of Night","The Liberation of Gabriel King","the lion of comarre and against the fall of night","the liberation of gabriel king","0.18181818181818182","0.18181818181818182","The Lion of Comarre and Against the Fall of Night_Arthur C. Clarke","The Liberation of Gabriel King_K.L. Going","The Lion of Comarre and Against the Fall of Night_Arthur C. Clarke","The Liberation of Gabriel King_K.L. Going","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_1677","bbe_36375","0.0",,"Postsingular","Polaris","postsingular","polaris","0.0","0.0","Postsingular_Rudy Rucker","Polaris_Jack McDevitt","Postsingular_Rudy Rucker","Polaris_Jack McDevitt","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_10490","bbe_22606","0.19999999999999998",,"The Return of Conan","The Reincarnation of Peter Proud","the return of conan","the reincarnation of peter proud","0.2857142857142857","0.2857142857142857","The Return of Conan_Björn Nyberg","The Reincarnation of Peter Proud_Max Ehrlich","The Return of Conan_Björn Nyberg","The Reincarnation of Peter Proud_Max Ehrlich","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_10444","bbe_13618","0.0",,"Antrax","Andromaque","antrax","andromaque","0.0","0.0","Antrax_Terry Brooks","Andromaque_Jean Racine","Antrax_Terry Brooks","Andromaque_Jean Racine","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_5341","bbe_2689","0.0",,"Unfettered","UnEnchanted","unfettered","unenchanted","0.0","0.0","Unfettered_Kevin Hearne","UnEnchanted_Chanda Hahn","Unfettered_Kevin Hearne","UnEnchanted_Chanda Hahn","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_5818","bbe_647","0.0",,"Wanderlust","Watchers","wanderlust","watchers","0.0","0.0","Wanderlust_Steve Winter","Watchers_Dean Koontz","Wanderlust_Steve Winter","Watchers_Dean Koontz","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_1295","bbe_36163","0.0",,"Starfish","Stolen","starfish","stolen","0.0","0.0","Starfish_Peter Watts","Stolen_Susan Lewis","Starfish_Peter Watts","Stolen_Susan Lewis","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_2956","bbe_30221","0.0",,"Nemesis","Nexis","nemesis","nexis","0.0","0.0","Nemesis_Scott Ciencin","Nexis_A.L. Davroe","Nemesis_Scott Ciencin","Nexis_A.L. Davroe","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_7864","bbe_43959","0.35",,"The Year of Freaking Out","The Year of the Rat","the year of freaking out","the year of the rat","0.5","0.5","The Year of Freaking Out_Sarah Walker","The Year of the Rat_Clare Furniss","The Year of Freaking Out_Sarah Walker","The Year of the Rat_Clare Furniss","0.0","0.0",,,,,,
"LinearCombinationMatchingRule","wiki_6491","bbe_3498","0.0",,"Decision","Defiance","decision","defiance","0.0","0.0","Decision_Allen Drury","Defiance_Lili St. Crow","Decision_Allen Drury","Defiance_Lili St. Crow","0.0","0.0",,,,,,
